store_risk_rank_desc,persistent_id_store,store_max_predicted_proba,store_predicted_positive_thr012,obs_month_start,obs_month,LOCATION_NAME,LATITUDE,LONGITUDE
7600,12922508,1.6199596e-05,0,2025-12-01,2025-12,Caribbean Vibes New York,40.651266,-73.949863
7601,8736660,1.6195241e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7642403,-73.9706497
7602,12961284,1.6195101e-05,0,2026-01-01,2026-01,Keilly Chinese Restaurant,40.7858115,-73.836188
7603,12926211,1.618948e-05,0,2025-12-01,2025-12,China Cafe,40.7066685,-74.007199
7604,8742377,1.6187272e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.818821,-73.9157333
7605,8739089,1.6184926e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7564697,-73.7676773
7606,12982465,1.6177952e-05,0,2026-01-01,2026-01,North Fork Restaurant,40.7330365,-74.0056615
7607,12087728,1.6171934e-05,0,2026-01-01,2026-01,Zhang Yu Yuan,40.7137413,-73.9956131
7608,8300925,1.6169868e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.6234818,-74.0252609
7609,13030955,1.6162561e-05,0,2025-12-01,2025-12,Villa Paradiso Ristorante Italiano,40.5534155,-74.143567
7610,8347956,1.6144722e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.8807602,-73.8831482
7611,12925961,1.6142274e-05,0,2026-01-01,2026-01,Chill D Taste Thai,40.7230015,-73.800756
7612,12973108,1.6137872e-05,0,2025-12-01,2025-12,Mao Mao,40.6959575,-73.933725
7613,8740673,1.6132424e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.6988411,-73.9192429
7614,12962908,1.6130394e-05,0,2025-12-01,2025-12,Kossar's Bagels & Bialys,40.76904,-73.952484
7615,8741658,1.6130132e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7768784,-73.951149
7616,8733018,1.6125703e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7566414,-73.9863129
7617,13021652,1.6122443e-05,0,2025-12-01,2025-12,The Gallery Cafe,40.7016855,-73.986945
7618,8742330,1.6119215e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7180214,-73.9481583
7619,8344650,1.61192e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.8336792,-73.944931
7620,12974405,1.6115326e-05,0,2025-12-01,2025-12,MAS-SAR-O INC,40.715012,-73.8327135
7621,8744609,1.6111131e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.77454,-73.9502564
7622,8732158,1.6107842e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.8185997,-73.9168015
7623,8733215,1.6101823e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.743969,-73.9257431
7624,8744435,1.610064e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7250404,-74.0032806
7625,8349239,1.6099842e-05,0,2026-01-01,2026-01,Limited-Service Restaurants,40.59272,-73.7841263
7626,12961432,1.6099459e-05,0,2025-12-01,2025-12,Kennedy Fried Chicken,40.707488,-73.7894875
7627,8745005,1.6096787e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.7062416,-73.7593918
7628,12090006,1.609642e-05,0,2025-12-01,2025-12,Maribella Restaurant CORP,40.8134384,-73.9160004
7629,8751763,1.6094746e-05,0,2025-12-01,2025-12,Full-Service Restaurants,40.77668,-73.9524002
7630,8751695,1.6094009e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.6003113,-73.9339218
7631,12992680,1.6090848e-05,0,2026-01-01,2026-01,Pizza Place,40.8407895,-73.855536
7632,8761376,1.6090464e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.7326698,-74.0042267
7633,13012441,1.6089773e-05,0,2025-12-01,2025-12,Tacos Emmanuel,40.8305945,-73.876491
7634,8755224,1.6089636e-05,0,2026-01-01,2026-01,Full-Service Restaurants,40.8048096,-73.9389877
7635,12080618,1.6085232e-05,0,2025-12-01,2025-12,"Pakiza Restaurant, INC",40.6324501,-73.9670029
7636,12239591,1.6081076e-05,0,2025-12-01,2025-12,Brooklyn Bagel & Coffee Company,40.774797,-73.9084125
7637,8350177,1.6080248e-05,0,2025-12-01,2025-12,Limited-Service Restaurants,40.8584099,-73.8976822
7638,13009658,1.607758e-05,0,2025-12-01,2025-12,Sun Luck Chinese Food,40.676645,-73.980062
